DEPTO_HECHO,MUNICIPIO_HECHO,FECHA_HECHO,BARRIOS_HECHO,DESCRIPCION_CONDUCTA,MODALIDAD,CLASE_SITIO,ZONA,GENERO,PAIS_PERSONA,CARGO_PERSONA,EDAD,2020
ATLÁNTICO,SOLEDAD,01/31/2020 12:00:00 AM,LA INMACULADA,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,TERMINAL DE TRANSPORTES,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,41,1
BOLÍVAR,CARTAGENA (CT),02/27/2020 12:00:00 AM,CHIQUINQUIRA,ARTÍCULO 239. HURTO PERSONAS,ATRACO,BUS TRANSMILENIO,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,31,1
BOLÍVAR,CARTAGENA (CT),02/27/2020 12:00:00 AM,CHIQUINQUIRA,ARTÍCULO 239. HURTO PERSONAS,ATRACO,BUS TRANSMILENIO,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,36,1
BOLÍVAR,CARTAGENA (CT),02/19/2020 12:00:00 AM,LOS ALPES,ARTÍCULO 111. LESIONES PERSONALES,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,33,1
BOLÍVAR,CARTAGENA (CT),02/29/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,28,1
BOLÍVAR,CARTAGENA (CT),03/15/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,36,1
BOLÍVAR,CARTAGENA (CT),02/16/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,74,1
BOLÍVAR,CARTAGENA (CT),01/21/2020 12:00:00 AM,CENTRO,ARTÍCULO 246. ESTAFA,TURINET,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,FEMENINO,-,TURISTA EXTRANJERO,28,1
BOLÍVAR,CARTAGENA (CT),01/19/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,DISCOTECAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,22,1
BOLÍVAR,CARTAGENA (CT),01/04/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,RESTAURANTES,URBANA,FEMENINO,ALEMANIA,TURISTA EXTRANJERO,59,1
BOLÍVAR,CARTAGENA (CT),01/04/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,35,1
BOLÍVAR,CARTAGENA (CT),01/23/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,DISCOTECAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,27,1
BOLÍVAR,CARTAGENA (CT),02/04/2020 12:00:00 AM,BOCAGRANDE,ARTÍCULO 239. HURTO PERSONAS,ATRACO,APARTAMENTO EN CONJUNTO CERRADO,URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,58,1
BOLÍVAR,CARTAGENA (CT),02/24/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,31,1
